"1-к. квартира, 33,1 м², 22/22 эт.",3541700,р-н Привокзальный,33.1,107000,1,монолитный,22,22, 3 кв. 2024 года
"2-к. квартира, 58 м², 3/22 эт.",5510000,р-н Привокзальный,58,95000,2,монолитный,22,3, 3 кв. 2024 года
"2-к. квартира, 47,3 м², 2/22 эт.",4540800,р-н Привокзальный,47.3,96000,2,монолитный,22,2, 3 кв. 2024 года
"1-к. квартира, 33,8 м², 2/22 эт.",3654720,р-н Привокзальный,33.8,108128,1,монолитный,22,2, 3 кв. 2024 года
"Квартира-студия, 24,7 м², 18/22 эт.",3060320,р-н Привокзальный,44766,123900,0,монолитный,22,18, 3 кв. 2024 года
"1-к. квартира, 33,6 м², 19/22 эт.",3691600,р-н Привокзальный,33.6,109869,1,монолитный,22,19, 3 кв. 2024 года
"2-к. квартира, 51,9 м², 3/22 эт.",4977600,р-н Привокзальный,51.9,95908,2,монолитный,22,3, 3 кв. 2024 года
"1-к. квартира, 35 м², 7/7 эт.",3500000,р-н Центральный,35,100000,1,монолитно-кирпичный,7,7," 3 кв. 2021 года, сдача не подтверждена"
"2-к. квартира, 90,2 м², 2/9 эт.",12630800,р-н Советский,90.2,140031,2,монолитный,9,2, 2 кв. 2024 года
"3-к. квартира, 81,5 м², 5/8 эт.",11811700,р-н Советский,81.5,144929,3,монолитно-кирпичный,8,5, 2 кв. 2024 года
"3-к. квартира, 82,1 м², 13/22 эт.",5890000,р-н Центральный,82.1,71742,3,монолитно-кирпичный,22,13, 4 кв. 2022 года
"2-к. квартира, 48,3 м², 13/22 эт.",4000000,р-н Центральный,48.3,82816,2,монолитно-кирпичный,22,13, 4 кв. 2022 года
"2-к. квартира, 61,9 м², 12/22 эт.",4890000,р-н Центральный,61.9,78998,2,монолитно-кирпичный,22,12, 4 кв. 2022 года
"1-к. квартира, 47,1 м², 15/22 эт.",4200000,р-н Центральный,47.1,89172,1,монолитный,22,15, 4 кв. 2022 года
"1-к. квартира, 41,7 м², 15/22 эт.",4480000,р-н Центральный,41.7,107434,1,монолитно-кирпичный,22,15, 4 кв. 2022 года
"3-к. квартира, 82,1 м², 10/22 эт.",5889000,р-н Центральный,82.1,71730,3,монолитно-кирпичный,22,10, 4 кв. 2022 года
"3-к. квартира, 85,4 м², 4/8 эт.",7429000,р-н Пролетарский,85.4,86991,3,монолитно-кирпичный,8,4, сдан
"2-к. квартира, 52,7 м², 5/8 эт.",4580000,р-н Пролетарский,52.7,86907,2,монолитно-кирпичный,8,5, сдан
"2-к. квартира, 52,7 м², 5/8 эт.",4580000,р-н Пролетарский,52.7,86907,2,монолитно-кирпичный,8,5, сдан
"1-к. квартира, 36 м², 7/8 эт.",3400000,р-н Пролетарский,36,94444,1,монолитно-кирпичный,8,7, сдан
"3-к. квартира, 64,5 м², 2/8 эт.",5550000,р-н Пролетарский,64.5,86047,3,кирпичный,8,2, сдан
"2-к. квартира, 53,5 м², 2/8 эт.",4350000,р-н Пролетарский,53.5,81308,2,монолитный,8,2, 4 кв. 2023 года
"2-к. квартира, 53,8 м², 7/8 эт.",4480000,р-н Пролетарский,53.8,83271,2,монолитный,8,7, 4 кв. 2023 года
"Квартира-студия, 30,6 м², 7/8 эт.",3369000,р-н Пролетарский,44742,110098,0,монолитный,8,7, 4 кв. 2023 года
